SITES,,,,,,,CREEL_SAMPLES,,,,,,,,,,,,,,,,,CREEL_INSTANTANEOUS_JUNCTION,,,,CREEL_POINT_TRAILERCOUNT,,,,,,,,,,,,
siteID,lakeID,siteName,lat,long,UTM,updateID,siteID,sampleID,dayOfYear,dateSet,dateSample,dateTimeSet,dateTimeSample,crew,gear,sampleGroup,effort,effortUnits,useEffort,weather,comments,metadataID,updateID,sampleID,trailerCountID,boatCountID,time,projectID,trailerCountID,trailerID,vehiclePresent,trailerNum,notes,wisconsinPlates,heavyWind,heavyRain,heavyClouds,enteredBy,updateID,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1355_CR_fishscapesCreel.Instantaneous.20180910,,13:55,36,AQ_BoatLaunch_20180513_1355_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1355_CR_fishscapesCreel.Instantaneous.20180910_1,1,1,Arrival count,1,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1355_CR_fishscapesCreel.Instantaneous.20180910,,13:55,36,AQ_BoatLaunch_20180513_1355_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1355_CR_fishscapesCreel.Instantaneous.20180910_2,1,2,Arrival count,1,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1400_CR_fishscapesCreel.Instantaneous.20180910,,14:00,36,AQ_BoatLaunch_20180513_1400_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1400_CR_fishscapesCreel.Instantaneous.20180910_1,1,1,,1,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1400_CR_fishscapesCreel.Instantaneous.20180910,,14:00,36,AQ_BoatLaunch_20180513_1400_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1400_CR_fishscapesCreel.Instantaneous.20180910_2,1,2,,1,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1500_CR_fishscapesCreel.Instantaneous.20180910,,15:00,36,AQ_BoatLaunch_20180513_1500_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1500_CR_fishscapesCreel.Instantaneous.20180910_1,1,1,,1,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1600_CR_fishscapesCreel.Instantaneous.20180910,,16:00,36,AQ_BoatLaunch_20180513_1600_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1600_CR_fishscapesCreel.Instantaneous.20180910_1,1,1,,1,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1700_CR_fishscapesCreel.Instantaneous.20180910,,17:00,36,AQ_BoatLaunch_20180513_1700_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1700_CR_fishscapesCreel.Instantaneous.20180910_1,0,1,,NA,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1800_CR_fishscapesCreel.Instantaneous.20180910,,18:00,36,AQ_BoatLaunch_20180513_1800_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1800_CR_fishscapesCreel.Instantaneous.20180910_1,0,1,,NA,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1900_CR_fishscapesCreel.Instantaneous.20180910,,19:00,36,AQ_BoatLaunch_20180513_1900_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_1900_CR_fishscapesCreel.Instantaneous.20180910_1,0,1,,NA,0,0,0,CMI,,
AQ_BoatLaunch,AQ,BoatLaunch,46.0369394,-89.6288435,,,AQ_BoatLaunch,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,133,2018-05-13,2018-05-13,2018-05-13 13:55,2018-05-13 21:30,"CMI, OJ, AS",CR,fishScapes_2018_creel,7.58,creelHours,1,,,fishscapesCreel.Instantaneous.20180910,,AQ_BoatLaunch_20180513_2130_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_2000_CR_fishscapesCreel.Instantaneous.20180910,,20:00,36,AQ_BoatLaunch_20180513_2000_CR_fishscapesCreel.Instantaneous.20180910,AQ_BoatLaunch_20180513_2000_CR_fishscapesCreel.Instantaneous.20180910_1,0,1,,NA,0,0,0,CMI,,
