siteID,lakeID,site,lat,long,UTM,updateID,siteID,sampleID,dayOfYear,dateSet,dateSample,dateTimeSet,dateTimeSample,crew,gear,sampleGroup,effort,effortUnits,useEffort,weather,comments,metadataID,updateID,sampleID,trailerCountID,boatCountID,time,projectID,boatCountID,boatID,boatNum,vesselType,passengerCount,fishing,residentRover,notes,enteredBy,updateID
BH_WholeShoreline,BH,WholeShoreline,46.2176675,-89.8383824,,,BH_WholeShoreline,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,136,5/16/2018,5/16/2018,5/16/2018 5:50,5/16/2018 13:30,"CMI, AS",CR,fishScapes_2018_creel,7.67,creelHours,6,,,fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_0740_CR_fishscapesCreel.Instantaneous.20180910,7:40,36,BH_WholeShoreline_20180516_0740_CR_fishscapesCreel.Instantaneous.20180910,BH_WholeShoreline_20180516_0740_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,4,1,rover,,CMI,
BH_WholeShoreline,BH,WholeShoreline,46.2176675,-89.8383824,,,BH_WholeShoreline,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,136,5/16/2018,5/16/2018,5/16/2018 5:50,5/16/2018 13:30,"CMI, AS",CR,fishScapes_2018_creel,7.67,creelHours,7,,,fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_0920_CR_fishscapesCreel.Instantaneous.20180910,9:20,36,BH_WholeShoreline_20180516_0920_CR_fishscapesCreel.Instantaneous.20180910,BH_WholeShoreline_20180516_0920_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,1,1,rover,,CMI,
BH_WholeShoreline,BH,WholeShoreline,46.2176675,-89.8383824,,,BH_WholeShoreline,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,136,5/16/2018,5/16/2018,5/16/2018 5:50,5/16/2018 13:30,"CMI, AS",CR,fishScapes_2018_creel,7.67,creelHours,8,,,fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_0920_CR_fishscapesCreel.Instantaneous.20180910,9:20,36,BH_WholeShoreline_20180516_0920_CR_fishscapesCreel.Instantaneous.20180910,BH_WholeShoreline_20180516_0920_CR_fishscapesCreel.Instantaneous.20180910_2,2,gas_motor,4,1,rover,,CMI,
BH_WholeShoreline,BH,WholeShoreline,46.2176675,-89.8383824,,,BH_WholeShoreline,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,136,5/16/2018,5/16/2018,5/16/2018 5:50,5/16/2018 13:30,"CMI, AS",CR,fishScapes_2018_creel,7.67,creelHours,9,,,fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910,11:00,36,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,1,1,rover,,CMI,
BH_WholeShoreline,BH,WholeShoreline,46.2176675,-89.8383824,,,BH_WholeShoreline,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,136,5/16/2018,5/16/2018,5/16/2018 5:50,5/16/2018 13:30,"CMI, AS",CR,fishScapes_2018_creel,7.67,creelHours,10,,,fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910,11:00,36,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910_2,2,gas_motor,2,1,rover,,CMI,
BH_WholeShoreline,BH,WholeShoreline,46.2176675,-89.8383824,,,BH_WholeShoreline,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,136,5/16/2018,5/16/2018,5/16/2018 5:50,5/16/2018 13:30,"CMI, AS",CR,fishScapes_2018_creel,7.67,creelHours,11,,,fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1330_CR_fishscapesCreel.Instantaneous.20180910,,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910,11:00,36,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910,BH_WholeShoreline_20180516_1100_CR_fishscapesCreel.Instantaneous.20180910_3,3,gas_motor,4,1,rover,,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,12,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910,15:14,36,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910_1,1,gas_motor,1,1,rover,"Didn't approach on water, talked to at launch before 15:14.",CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,13,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910,15:14,36,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910_2,2,gas_motor,2,1,resident,Island 2.  Cable on dock going in for lunch soon then will be back out.,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,14,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910,15:14,36,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910_3,3,gas_motor,1,0,rover,DNR creeler,CMI,
OB_WholeShoreline,OB,WholeShoreline,46.2438989,-89.6791928,,,OB_WholeShoreline,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,137,5/17/2018,5/17/2018,5/17/2018 13:35,5/17/2018 21:30,"CMI, AS",CR,fishScapes_2018_creel,7.92,creelHours,15,,,fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_2130_CR_fishscapesCreel.Instantaneous.20180910,,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910,15:14,36,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910,OB_WholeShoreline_20180517_1514_CR_fishscapesCreel.Instantaneous.20180910_4,4,gas_motor,2,,,"Moving too quickly, couldn't catch up to.",CMI,
